Image,PFP no.,Holder discord,Artist,Event,OG file Link,,,,,,Snap 1
,CCKK001,smilypong,Puichii,,https://drive.google.com/file/d/17rT3CZ5iMYcqWmlcCHIEzwGnGg8TM58B/view?usp=drive_link,,,,,,TRUE
,CCKK002,acos6682,Puichii,,https://drive.google.com/file/d/13z0_PYYKzi-OKe1KHCwoExwMkew5QNZH/view?usp=drive_link,,,,,,TRUE
,CCKK003,reganz21,Puichii,,https://drive.google.com/file/d/1uDXsVhUow3LvD3WsJlKaRiizGMAsKOUB/view?usp=drive_link,,,,,,TRUE
,CCKK004,bibbu__,Puichii,,https://drive.google.com/file/d/1vF-zTNUOy_i_zUwPhY5O_H8pUcbrarFT/view?usp=drive_link,,,,,,TRUE
,CCKK005,birb6587,Puichii,,https://drive.google.com/file/d/16EgHQxI9_Cz1zWrbgrIhSwt8qLQ0BA6i/view?usp=drive_link,,,,,,TRUE
,CCKK006,dos4289,Puichii,,https://drive.google.com/file/d/1DJqsPYjiNnxUhlhNkDeNsQ2HfbiYfe3w/view?usp=drive_link,,,,,,TRUE
,CCKK007,vodkla,Puichii,,https://drive.google.com/file/d/12Uqq2OJ42HsXLa1x74Vol4poNrsKUMty/view?usp=drive_link,,,,,,TRUE
,CCKK008,peach.sw,Puichii,,https://drive.google.com/file/d/1-1D3XTFF6w7fn8lwee9ycjGK2VleasHU/view?usp=drive_link,,,,,,TRUE
,CCKK009,reborn8958,Puichii,,https://drive.google.com/file/d/1OupudtMLK0uNruR2aYu7rU-rW_Ax6pXh/view?usp=drive_link,,,,,,TRUE
,CCKK010,nongwaan,Puichii,,https://drive.google.com/file/d/1-eKsnuhyryAA2PsaV2Pf0AFGJI-6hjWj/view?usp=drive_link,,,,,,TRUE
,CCKK011,jakeperalta0309,Puichii,,https://drive.google.com/file/d/1OiB6SSEwNDcxEfQeBywhCeHnMjE9TxdM/view?usp=drive_link,,,,,,TRUE
,CCKK012,yingyotthaitalent,Puichii,,https://drive.google.com/file/d/1bcB7y6WtlOtFsX_zWFVagIPpHk-CB60j/view?usp=drive_link,,,,,,TRUE
,CCKK013,zhangliu.eth,Puichii,,https://drive.google.com/file/d/1EZUVOrepJQZdshQTA_9w0v4rI_i32MIz/view?usp=drive_link,,,,,,TRUE
,CCKK014,henryle20,Puichii,,https://drive.google.com/file/d/16LPIojcWcoqC-WmAnOZrz-YZln-5L7J6/view?usp=drive_link,,,,,,TRUE
,CCKK015,shimmoney,Puichii,,https://drive.google.com/file/d/1QyGEK79P1Erj7dlNAQtQ8u-x_i4B828I/view?usp=drive_link,,,,,,FALSE
,CCKK016,diewland,Sota,,,,,,,,FALSE
